country,date,yearly_cases,yearly_deaths,yearly_cases_per_million,yearly_deaths_per_million,Region,IncomeGroup,date_health,health_percentage_gdp
Brazil,2021,14700283.0,426136.0,69899.37508213613,2026.2630386096075,Latin America & Caribbean,Upper middle income,2021,9.63646507
Brazil,2022,14038581.0,74917.0,66753.00325442373,356.227936770224,Latin America & Caribbean,Upper middle income,2022,9.14277458
British Virgin Islands,2019,,,,,Latin America & Caribbean,High income,2019,
British Virgin Islands,2020,93.0,1.0,2428.32523891587,26.1110240743642,Latin America & Caribbean,High income,2020,
British Virgin Islands,2021,3163.0,38.0,82589.16914721395,992.2189148258394,Latin America & Caribbean,High income,2021,
British Virgin Islands,2022,4049.0,25.0,105723.53647710064,652.7756018591051,Latin America & Caribbean,High income,2022,
Brunei,2019,,,,,,,2019,
Brunei,2020,157.0,3.0,344.8078958811928,6.588685908557824,,,2020,
Brunei,2021,15317.0,58.0,33639.63402046007,127.38126089878462,,,2021,
Brunei,2022,254725.0,87.0,559434.3393524638,191.07189134817688,,,2022,
Bulgaria,2019,,,,,Europe & Central Asia,High income,2019,7.09237671
Bulgaria,2020,197384.0,7123.0,28917.271002137917,1043.5380848915229,Europe & Central Asia,High income,2020,8.48235893
Bulgaria,2021,536498.0,23405.0,78598.35679743538,3428.8935668799795,Europe & Central Asia,High income,2021,8.61892796
Bulgaria,2022,546735.0,7508.0,80098.10400718331,1099.9415894097365,Europe & Central Asia,High income,2022,7.66357517
Burkina Faso,2019,,,,,Sub-Saharan Africa,Low income,2019,5.36802721
Burkina Faso,2020,6707.0,85.0,297.9697671975137,3.776268109704587,Sub-Saharan Africa,Low income,2020,6.57714844
Burkina Faso,2021,10925.0,233.0,485.36151880614847,10.351417288954927,Sub-Saharan Africa,Low income,2021,6.40747881
Burkina Faso,2022,4391.0,77.0,195.0775678789746,3.4208546405559215,Sub-Saharan Africa,Low income,2022,6.77182007
Burundi,2019,,,,,Sub-Saharan Africa,Low income,2019,9.05010796
Burundi,2020,818.0,2.0,61.406543144927845,0.1501382472981121,Sub-Saharan Africa,Low income,2020,10.71837234
Burundi,2021,29732.0,12.0,2231.9551843337345,0.9008294837886728,Sub-Saharan Africa,Low income,2021,8.99484253
Burundi,2022,21612.0,1.0,1622.3939003033993,0.07506912364905594,Sub-Saharan Africa,Low income,2022,8.39522648
Cambodia,2019,,,,,East Asia & Pacific,Lower middle income,2019,5.05801058
Cambodia,2020,366.0,0.0,21.27701381413029,0.0,East Asia & Pacific,Lower middle income,2020,5.28458023
Cambodia,2021,120127.0,3012.0,6983.4531105192045,175.09935958513776,East Asia & Pacific,Lower middle income,2021,5.51976061
Cambodia,2022,18085.0,44.0,1051.351898438651,2.557892371097637,East Asia & Pacific,Lower middle income,2022,4.71089554
Cameroon,2019,,,,,Sub-Saharan Africa,Lower middle income,2019,3.65157914
Cameroon,2020,26848.0,448.0,971.6016767511476,16.212662067361222,Sub-Saharan Africa,Lower middle income,2020,4.25051928
Cameroon,2021,82818.0,1405.0,2997.098765836432,50.84551384964848,Sub-Saharan Africa,Lower middle income,2021,4.30539274
